"country","age_group","cases","hospitalization","icu","mortality"
"Italy","0-19",0.198548738290283,NA,NA,NA
"Italy","20-29",0.127539210557014,NA,NA,NA
"Italy","30-39",0.129367820598803,NA,NA,NA
"Italy","40-49",0.158389933632419,NA,NA,NA
"Italy","50-59",0.158570570809578,NA,NA,NA
"Italy","60-69",0.101379982201581,NA,NA,NA
"Italy","70-79",0.0704559118490575,NA,NA,NA
"Italy","80+",0.0557478320612653,NA,NA,NA
"Belgium","0-19",NA,0.0197719194312796,NA,0
"Belgium","20-29",NA,0.0212529620853081,NA,0
"Belgium","30-39",NA,0.0515402843601896,NA,0.00268977884040646
"Belgium","40-49",NA,0.0981931279620853,NA,0.0104602510460251
"Belgium","50-59",NA,0.162544431279621,NA,0.0248057381948595
"Belgium","60-69",NA,0.182982819905213,NA,0.0854751942618051
"Belgium","70-79",NA,0.201347748815166,NA,0.189479976090855
"Belgium","80+",NA,0.262366706161137,NA,0.687089061566049
"Croatia","0-19",NA,0.027043451838347,0.0065093572009764,0.00150981378963261
"Croatia","20-29",NA,0.0323609845031905,0.00976403580146461,0.00150981378963261
"Croatia","30-39",NA,0.0492251595259799,0.0138323840520749,0.00301962757926522
"Croatia","40-49",NA,0.0657854755393497,0.0537021969080553,0.0140915953699044
"Croatia","50-59",NA,0.136432695229414,0.117982099267697,0.0493205837946653
"Croatia","60-69",NA,0.225463384989365,0.25793327908869,0.150981378963261
"Croatia","70-79",NA,0.234123366757824,0.344182262001627,0.302466029189733
"Croatia","80+",NA,0.22956548161653,0.196094385679414,0.477101157523905
"Cyprus","0-19",NA,0.0234432234432234,0.0050761421319797,0
"Cyprus","20-29",NA,0.0256410256410256,0.0050761421319797,0
"Cyprus","30-39",NA,0.052014652014652,0.0050761421319797,0
"Cyprus","40-49",NA,0.103296703296703,0.0456852791878173,0
"Cyprus","50-59",NA,0.192673992673993,0.182741116751269,0
"Cyprus","60-69",NA,0.235897435897436,0.33502538071066,0.2
"Cyprus","70-79",NA,0.220512820512821,0.319796954314721,0.2
"Cyprus","80+",NA,0.146520146520147,0.101522842639594,0.6
"Estonia","0-19",NA,NA,NA,NA
"Estonia","20-29",NA,NA,NA,NA
"Estonia","30-39",NA,NA,NA,NA
"Estonia","40-49",NA,NA,NA,NA
"Estonia","50-59",NA,NA,NA,NA
"Estonia","60-69",NA,NA,NA,NA
"Estonia","70-79",NA,NA,NA,NA
"Estonia","80+",NA,NA,NA,NA
"Greece","0-19",NA,NA,0.00243506493506494,0.000607533414337789
"Greece","20-29",NA,NA,0.00649350649350649,0.000911300121506683
"Greece","30-39",NA,NA,0.0211038961038961,0.0051640340218712
"Greece","40-49",NA,NA,0.0596590909090909,0.0179222357229648
"Greece","50-59",NA,NA,0.149350649350649,0.0622721749696233
"Greece","60-69",NA,NA,0.285308441558442,0.163730255164034
"Greece","70-79",NA,NA,0.323051948051948,0.270048602673147
"Greece","80+",NA,NA,0.152597402597403,0.479343863912515
"Hungary","0-19",NA,0.0164012522117871,0.0150234741784038,0.000358873138345595
"Hungary","20-29",NA,0.0238532734449435,0.0219092331768388,0.00242239368383277
"Hungary","30-39",NA,0.0467878045460732,0.0435054773082942,0.00807464561277588
"Hungary","40-49",NA,0.0881992650061249,0.107668231611894,0.0286201327830612
"Hungary","50-59",NA,0.137368994147271,0.179968701095462,0.0833482863807644
"Hungary","60-69",NA,0.225262011705458,0.291392801251956,0.212991207608111
"Hungary","70-79",NA,0.239383421804818,0.244444444444444,0.318589628566302
"Hungary","80+",NA,0.222743977133524,0.0960876369327074,0.345594832226808
"Ireland","0-19",NA,0.0363513513513514,0.0153417015341702,0.00173160173160173
"Ireland","20-29",NA,0.0564864864864865,0.0237099023709902,0.000865800865800866
"Ireland","30-39",NA,0.0747297297297297,0.0488145048814505,0.00432900432900433
"Ireland","40-49",NA,0.0841891891891892,0.119944211994421,0.00952380952380952
"Ireland","50-59",NA,0.125135135135135,0.227336122733612,0.0316017316017316
"Ireland","60-69",NA,0.147297297297297,0.298465829846583,0.103030303030303
"Ireland","70-79",NA,0.208108108108108,0.213389121338912,0.23982683982684
"Ireland","80+",NA,0.267702702702703,0.0529986052998605,0.609090909090909
"Latvia","0-19",NA,NA,NA,NA
"Latvia","20-29",NA,NA,NA,NA
"Latvia","30-39",NA,NA,NA,NA
"Latvia","40-49",NA,NA,NA,NA
"Latvia","50-59",NA,NA,NA,NA
"Latvia","60-69",NA,NA,NA,NA
"Latvia","70-79",NA,NA,NA,NA
"Latvia","80+",NA,NA,NA,NA
"Lithuania","0-19",NA,NA,NA,0
"Lithuania","20-29",NA,NA,NA,0.00115074798619102
"Lithuania","30-39",NA,NA,NA,0.00517836593785961
"Lithuania","40-49",NA,NA,NA,0.0143843498273878
"Lithuania","50-59",NA,NA,NA,0.0678941311852704
"Lithuania","60-69",NA,NA,NA,0.161104718066743
"Lithuania","70-79",NA,NA,NA,0.281357882623705
"Lithuania","80+",NA,NA,NA,0.468929804372842
"Luxembourg","0-19",NA,0.0255754475703325,0.00641025641025641,0
