"YearWeekISO","ReportingCountry","FirstDose","SecondDose","DoseAdditional1","TargetGroup","Vaccine","Region"
"2021-W03","AT",0,0,0,"Age5_9","JANSS","AT"
"2021-W03","AT",0,0,0,"Age5_9","MOD","AT"
"2021-W03","AT",0,0,0,"Age5_9","AZ","AT"
"2021-W03","AT",0,0,0,"Age5_9","NVXD","AT"
"2021-W03","AT",1,0,0,"Age5_9","COM","AT"
"2021-W03","AT",0,0,0,"Age5_9","UNK","AT"
"2021-W03","AT",0,0,0,"Age60_69","JANSS","AT"
"2021-W03","AT",13,0,0,"Age60_69","MOD","AT"
"2021-W03","AT",0,0,0,"Age60_69","NVXD","AT"
"2021-W03","AT",8290,528,1,"Age60_69","COM","AT"
"2021-W03","AT",0,0,0,"Age60_69","AZ","AT"
"2021-W03","AT",43,0,0,"Age60_69","UNK","AT"
"2021-W03","AT",0,0,0,"Age70_79","JANSS","AT"
"2021-W03","AT",0,0,0,"Age70_79","NVXD","AT"
"2021-W03","AT",13,0,0,"Age70_79","MOD","AT"
"2021-W03","AT",6637,473,1,"Age70_79","COM","AT"
"2021-W03","AT",47,0,0,"Age70_79","UNK","AT"
"2021-W03","AT",0,0,0,"Age70_79","AZ","AT"
"2021-W03","AT",0,0,0,"Age80+","JANSS","AT"
"2021-W03","AT",0,0,0,"Age80+","NVXD","AT"
"2021-W03","AT",2,0,0,"Age80+","UNK","AT"
"2021-W03","AT",0,0,0,"Age80+","AZ","AT"
"2021-W03","AT",27020,1448,0,"Age80+","COM","AT"
"2021-W03","AT",14,0,0,"Age80+","MOD","AT"
"2021-W03","AT",0,0,0,"Age<18","UNK","AT"
"2021-W03","AT",0,0,0,"Age<18","NVXD","AT"
"2021-W03","AT",0,0,0,"Age<18","AZ","AT"
"2021-W03","AT",0,0,0,"Age<18","MOD","AT"
"2021-W03","AT",0,0,0,"Age<18","JANSS","AT"
"2021-W03","AT",38,4,0,"Age<18","COM","AT"
"2021-W04","AT",0,0,0,"ALL","JANSS","AT"
"2021-W04","AT",98,2,1,"ALL","UNK","AT"
"2021-W04","AT",4000,0,0,"ALL","MOD","AT"
"2021-W04","AT",0,0,0,"ALL","NVXD","AT"
"2021-W04","AT",0,0,0,"ALL","AZ","AT"
"2021-W04","AT",27615,17581,3,"ALL","COM","AT"
"2021-W04","AT",0,0,0,"Age0_4","JANSS","AT"
"2021-W04","AT",0,0,0,"Age0_4","UNK","AT"
"2021-W04","AT",0,0,0,"Age0_4","AZ","AT"
"2021-W04","AT",0,0,0,"Age0_4","NVXD","AT"
"2021-W04","AT",0,0,0,"Age0_4","MOD","AT"
"2021-W04","AT",1,0,0,"Age0_4","COM","AT"
"2021-W04","AT",0,0,0,"Age10_14","JANSS","AT"
"2021-W04","AT",0,0,0,"Age10_14","UNK","AT"
"2021-W04","AT",1,0,0,"Age10_14","MOD","AT"
"2021-W04","AT",0,0,0,"Age10_14","AZ","AT"
"2021-W04","AT",0,0,0,"Age10_14","NVXD","AT"
"2021-W04","AT",0,0,0,"Age10_14","COM","AT"
"2021-W04","AT",0,0,0,"Age15_17","MOD","AT"
"2021-W04","AT",6,22,0,"Age15_17","COM","AT"
"2021-W04","AT",0,0,0,"Age15_17","AZ","AT"
"2021-W04","AT",0,0,0,"Age15_17","NVXD","AT"
"2021-W04","AT",0,0,0,"Age15_17","UNK","AT"
"2021-W04","AT",0,0,0,"Age15_17","JANSS","AT"
"2021-W04","AT",0,0,0,"Age18_24","NVXD","AT"
"2021-W04","AT",1090,592,0,"Age18_24","COM","AT"
"2021-W04","AT",0,0,0,"Age18_24","AZ","AT"
"2021-W04","AT",85,0,0,"Age18_24","MOD","AT"
"2021-W04","AT",0,0,0,"Age18_24","JANSS","AT"
"2021-W04","AT",0,0,0,"Age18_24","UNK","AT"
"2021-W04","AT",7,1,1,"Age25_49","UNK","AT"
"2021-W04","AT",0,0,0,"Age25_49","JANSS","AT"
"2021-W04","AT",1589,0,0,"Age25_49","MOD","AT"
"2021-W04","AT",7634,6154,3,"Age25_49","COM","AT"
"2021-W04","AT",0,0,0,"Age25_49","AZ","AT"
"2021-W04","AT",0,0,0,"Age25_49","NVXD","AT"
"2021-W04","AT",956,0,0,"Age50_59","MOD","AT"
"2021-W04","AT",0,0,0,"Age50_59","JANSS","AT"
"2021-W04","AT",4599,4153,0,"Age50_59","COM","AT"
"2021-W04","AT",6,0,0,"Age50_59","UNK","AT"
"2021-W04","AT",0,0,0,"Age50_59","AZ","AT"
"2021-W04","AT",0,0,0,"Age50_59","NVXD","AT"
"2021-W04","AT",0,0,0,"Age5_9","UNK","AT"
"2021-W04","AT",0,0,0,"Age5_9","COM","AT"
"2021-W04","AT",0,0,0,"Age5_9","MOD","AT"
"2021-W04","AT",0,0,0,"Age5_9","AZ","AT"
"2021-W04","AT",0,0,0,"Age5_9","NVXD","AT"
"2021-W04","AT",0,0,0,"Age5_9","JANSS","AT"
"2021-W04","AT",747,0,0,"Age60_69","MOD","AT"
"2021-W04","AT",1984,2000,0,"Age60_69","COM","AT"
"2021-W04","AT",23,1,0,"Age60_69","UNK","AT"
"2021-W04","AT",0,0,0,"Age60_69","JANSS","AT"
"2021-W04","AT",0,0,0,"Age60_69","AZ","AT"
"2021-W04","AT",0,0,0,"Age60_69","NVXD","AT"
"2021-W04","AT",1465,1246,0,"Age70_79","COM","AT"
"2021-W04","AT",171,0,0,"Age70_79","MOD","AT"
"2021-W04","AT",0,0,0,"Age70_79","AZ","AT"
"2021-W04","AT",55,0,0,"Age70_79","UNK","AT"
"2021-W04","AT",0,0,0,"Age70_79","JANSS","AT"
"2021-W04","AT",0,0,0,"Age70_79","NVXD","AT"
"2021-W04","AT",10843,3436,0,"Age80+","COM","AT"
"2021-W04","AT",452,0,0,"Age80+","MOD","AT"
"2021-W04","AT",0,0,0,"Age80+","AZ","AT"
"2021-W04","AT",0,0,0,"Age80+","NVXD","AT"
"2021-W04","AT",7,0,0,"Age80+","UNK","AT"
"2021-W04","AT",0,0,0,"Age80+","JANSS","AT"
"2021-W04","AT",0,0,0,"Age<18","JANSS","AT"
"2021-W04","AT",1,0,0,"Age<18","MOD","AT"
"2021-W04","AT",0,0,0,"Age<18","NVXD","AT"
"2021-W04","AT",0,0,0,"Age<18","UNK","AT"
"2021-W04","AT",0,0,0,"Age<18","AZ","AT"
"2021-W04","AT",7,22,0,"Age<18","COM","AT"
"2021-W05","AT",16865,79615,15,"ALL","COM","AT"
"2021-W05","AT",48,4,1,"ALL","UNK","AT"
"2021-W05","AT",1717,1,0,"ALL","MOD","AT"
"2021-W05","AT",0,0,0,"ALL","AZ","AT"
"2021-W05","AT",0,0,0,"ALL","NVXD","AT"
"2021-W05","AT",0,0,0,"ALL","JANSS","AT"
"2021-W05","AT",0,0,0,"Age0_4","AZ","AT"
"2021-W05","AT",0,0,0,"Age0_4","MOD","AT"
"2021-W05","AT",0,0,0,"Age0_4","UNK","AT"
"2021-W05","AT",0,0,0,"Age0_4","NVXD","AT"
"2021-W05","AT",0,0,0,"Age0_4","JANSS","AT"
"2021-W05","AT",0,0,0,"Age0_4","COM","AT"
"2021-W05","AT",0,0,0,"Age10_14","MOD","AT"
"2021-W05","AT",0,0,0,"Age10_14","AZ","AT"
"2021-W05","AT",0,0,0,"Age10_14","JANSS","AT"
"2021-W05","AT",0,0,0,"Age10_14","UNK","AT"
"2021-W05","AT",0,0,0,"Age10_14","NVXD","AT"
"2021-W05","AT",2,6,0,"Age10_14","COM","AT"
"2021-W05","AT",0,0,0,"Age15_17","MOD","AT"
"2021-W05","AT",0,0,0,"Age15_17","AZ","AT"
"2021-W05","AT",0,0,0,"Age15_17","JANSS","AT"
"2021-W05","AT",0,0,0,"Age15_17","NVXD","AT"
"2021-W05","AT",0,0,0,"Age15_17","UNK","AT"
"2021-W05","AT",19,55,0,"Age15_17","COM","AT"
"2021-W05","AT",0,0,0,"Age18_24","AZ","AT"
"2021-W05","AT",0,0,0,"Age18_24","NVXD","AT"
"2021-W05","AT",0,0,0,"Age18_24","UNK","AT"
"2021-W05","AT",18,0,0,"Age18_24","MOD","AT"
"2021-W05","AT",815,2173,0,"Age18_24","COM","AT"
"2021-W05","AT",0,0,0,"Age18_24","JANSS","AT"
"2021-W05","AT",6218,24855,1,"Age25_49","COM","AT"
"2021-W05","AT",0,0,0,"Age25_49","NVXD","AT"
"2021-W05","AT",0,0,0,"Age25_49","AZ","AT"
"2021-W05","AT",0,0,0,"Age25_49","JANSS","AT"
"2021-W05","AT",1,2,0,"Age25_49","UNK","AT"
"2021-W05","AT",236,1,0,"Age25_49","MOD","AT"
"2021-W05","AT",0,0,0,"Age50_59","NVXD","AT"
"2021-W05","AT",0,0,0,"Age50_59","JANSS","AT"
"2021-W05","AT",0,0,0,"Age50_59","AZ","AT"
"2021-W05","AT",4234,17420,2,"Age50_59","COM","AT"
"2021-W05","AT",5,1,0,"Age50_59","UNK","AT"
"2021-W05","AT",142,0,0,"Age50_59","MOD","AT"
"2021-W05","AT",0,0,0,"Age5_9","JANSS","AT"
"2021-W05","AT",0,0,0,"Age5_9","NVXD","AT"
"2021-W05","AT",0,0,0,"Age5_9","MOD","AT"
"2021-W05","AT",0,1,0,"Age5_9","COM","AT"
"2021-W05","AT",0,0,0,"Age5_9","UNK","AT"
"2021-W05","AT",0,0,0,"Age5_9","AZ","AT"
"2021-W05","AT",0,0,0,"Age60_69","NVXD","AT"
"2021-W05","AT",0,0,0,"Age60_69","AZ","AT"
"2021-W05","AT",11,0,1,"Age60_69","UNK","AT"
"2021-W05","AT",1870,9041,1,"Age60_69","COM","AT"
"2021-W05","AT",0,0,0,"Age60_69","JANSS","AT"
"2021-W05","AT",61,0,0,"Age60_69","MOD","AT"
"2021-W05","AT",1144,6673,2,"Age70_79","COM","AT"
"2021-W05","AT",0,0,0,"Age70_79","NVXD","AT"
"2021-W05","AT",0,0,0,"Age70_79","AZ","AT"
"2021-W05","AT",36,0,0,"Age70_79","MOD","AT"
"2021-W05","AT",0,0,0,"Age70_79","JANSS","AT"
"2021-W05","AT",29,1,0,"Age70_79","UNK","AT"
"2021-W05","AT",0,0,0,"Age80+","NVXD","AT"
"2021-W05","AT",0,0,0,"Age80+","JANSS","AT"
"2021-W05","AT",2,0,0,"Age80+","UNK","AT"
"2021-W05","AT",1224,0,0,"Age80+","MOD","AT"
"2021-W05","AT",2584,19453,9,"Age80+","COM","AT"
"2021-W05","AT",0,0,0,"Age80+","AZ","AT"
"2021-W05","AT",0,0,0,"Age<18","NVXD","AT"
"2021-W05","AT",0,0,0,"Age<18","UNK","AT"
"2021-W05","AT",0,0,0,"Age<18","AZ","AT"
"2021-W05","AT",21,62,0,"Age<18","COM","AT"
"2021-W05","AT",0,0,0,"Age<18","MOD","AT"
"2021-W05","AT",0,0,0,"Age<18","JANSS","AT"
"2021-W06","AT",10818,0,0,"ALL","AZ","AT"
"2021-W06","AT",0,0,0,"ALL","NVXD","AT"
"2021-W06","AT",4034,96,1,"ALL","MOD","AT"
"2021-W06","AT",13895,88400,7,"ALL","COM","AT"
"2021-W06","AT",109,89,0,"ALL","UNK","AT"
"2021-W06","AT",0,0,0,"ALL","JANSS","AT"
"2021-W06","AT",0,0,0,"Age0_4","COM","AT"
