imputation_id;vaccine;sex;age_group;cov;var;imputation_method
4;Spikevax;F;40-49;5298634;4406852.38;multiple imputation
4;Spikevax;F;5-11;396;402.5624661;multiple imputation
4;Spikevax;F;50-59;5540370;3635254.653;multiple imputation
4;Spikevax;F;60-69;3452932;2221040.6;multiple imputation
4;Spikevax;F;70-79;3013072;1898886.119;multiple imputation
4;Spikevax;F;80+;2396455;1413195.984;multiple imputation
4;Spikevax;M;12-17;971718;479100.9752;multiple imputation
4;Spikevax;M;18-24;3063618;2047233.025;multiple imputation
4;Spikevax;M;25-29;2219390;2056168.202;multiple imputation
4;Spikevax;M;30-39;5398957;4510273.878;multiple imputation
4;Spikevax;M;40-49;5081140;4266973.211;multiple imputation
4;Spikevax;M;5-11;2020;1951.932924;multiple imputation
4;Spikevax;M;50-59;5765462;3763830.706;multiple imputation
4;Spikevax;M;60-69;3190668;2152301.068;multiple imputation
4;Spikevax;M;70-79;2599424;1790460.787;multiple imputation
4;Spikevax;M;80+;1337637;949375.252;multiple imputation
4;Vaxzevria;F;10-19;207871;177645.0879;multiple imputation
4;Vaxzevria;F;20-29;1565143;1327642.274;multiple imputation
4;Vaxzevria;F;30-39;2704830;2303673.506;multiple imputation
4;Vaxzevria;F;40-49;3937691;3053432.816;multiple imputation
4;Vaxzevria;F;50-59;4685995;2993543.495;multiple imputation
4;Vaxzevria;F;60-69;13148213;7969642.164;multiple imputation
4;Vaxzevria;F;70-79;5197965;3218790.369;multiple imputation
4;Vaxzevria;F;80+;1128185;762649.1043;multiple imputation
4;Vaxzevria;M;10-19;233840;220561.9036;multiple imputation
4;Vaxzevria;M;20-29;1057336;957142.7548;multiple imputation
4;Vaxzevria;M;30-39;2111818;1849604.144;multiple imputation
4;Vaxzevria;M;40-49;3139493;2591072.474;multiple imputation
4;Vaxzevria;M;50-59;4342418;2916176.511;multiple imputation
4;Vaxzevria;M;60-69;13397040;8058365.447;multiple imputation
4;Vaxzevria;M;70-79;4998757;3172499.261;multiple imputation
